"id","cluster_C1","cluster_C2_original","cluster_C2","changed_cluster","silhouette_C1","silhouette_C2"
358,8,8,8,FALSE,0.753689126405999,0.678885074551452
359,8,8,8,FALSE,0.709191286938699,0.643791258661173
360,8,8,8,FALSE,0.759397589259387,0.692176096296488
361,8,8,8,FALSE,0.736931669242694,0.656695813188123
362,12,12,12,FALSE,0.535970104033808,0.487995307000744
363,8,8,8,FALSE,0.516344408768993,0.491236539100027
364,12,12,12,FALSE,0.438192664249933,0.404711642937935
365,12,12,12,FALSE,0.542318025530455,0.483858214261214
366,12,12,12,FALSE,0.547297910120296,0.497737161325197
367,2,2,2,FALSE,0.697178931413824,0.647345118874469
368,5,5,5,FALSE,0.785273793377235,0.725607703747094
369,8,8,8,FALSE,0.743180320761433,0.689726455896335
370,2,2,2,FALSE,0.642423785302802,0.600615011840443
371,5,5,5,FALSE,0.786022886537958,0.723976237818922
372,1,1,1,FALSE,0.72159652784479,0.711916724327736
373,2,2,2,FALSE,0.645739462736781,0.601563624273736
374,2,2,2,FALSE,0.666837100294341,0.613201940443452
375,2,2,2,FALSE,0.605681498692848,0.558611339642355
376,8,8,8,FALSE,0.761909912682845,0.702576400608604
377,4,4,4,FALSE,0.468567684236803,0.360683086240328
378,8,8,8,FALSE,0.761519793227347,0.715205551346922
379,4,4,4,FALSE,0.449955082815438,0.343299165010915
380,6,6,6,FALSE,0.230084199018307,0.0719159317817512
381,8,8,8,FALSE,0.741831859956236,0.683721417242898
382,5,5,5,FALSE,0.73367237620115,0.669783025611099
383,8,8,8,FALSE,0.723883424304262,0.681209030566513
384,5,5,5,FALSE,0.734577054557042,0.676377939276235
385,4,4,4,FALSE,0.615551405222268,0.46492876036154
386,6,6,6,FALSE,0.271781281624408,0.107256742439265
387,2,2,2,FALSE,0.759620227863526,0.716229573872742
388,6,6,6,FALSE,0.260579063667781,0.0727105332530632
389,2,2,2,FALSE,0.559209345279185,0.501617077900161
390,5,5,5,FALSE,0.653305879874336,0.594582081717364
391,2,2,2,FALSE,0.766934625163892,0.71880314560573
392,8,8,8,FALSE,0.75097825013377,0.691430702939792
393,6,6,6,FALSE,0.495929952408828,0.274936837165544
394,5,5,5,FALSE,0.483577099044133,0.439927296960182
395,6,6,6,FALSE,0.269491853693815,0.0733906165986196
396,9,9,9,FALSE,0.356547292802049,0.465381283633397
397,5,5,5,FALSE,0.550091698300528,0.512474625683843
398,5,5,5,FALSE,0.6085647044197,0.566716531174455
399,6,6,6,FALSE,0.489395432294236,0.278246429766357
400,5,5,5,FALSE,0.550625014178548,0.488518972743087
401,5,5,5,FALSE,0.557337746233843,0.493085350129137
402,6,6,6,FALSE,0.406375073492227,0.249933635298146
403,2,2,2,FALSE,0.769920058810575,0.722113352272159
404,2,2,2,FALSE,0.770946029902533,0.718869948346345
405,2,2,2,FALSE,0.768192024615645,0.715444433329798
406,2,2,2,FALSE,0.672848041949162,0.618591999369854
407,1,1,1,FALSE,0.732540432694398,0.70803701113489
408,2,2,2,FALSE,0.74782028135636,0.702346211004117
409,1,1,1,FALSE,0.734384561228721,0.709821813511983
410,1,1,1,FALSE,0.726544059001895,0.716809294234302
411,2,2,2,FALSE,0.76627314735059,0.716994647212678
412,2,2,2,FALSE,0.568270141335171,0.532293361108664
413,1,1,1,FALSE,0.709185594275158,0.699918223582817
414,1,1,1,FALSE,0.720121599496117,0.704979420017154
415,1,1,1,FALSE,0.690193166711937,0.656335927515629
416,1,1,1,FALSE,0.757713763144673,0.743349513216877
417,10,10,10,FALSE,0.438891512129215,0.417511766324021
418,1,1,1,FALSE,0.679850654760373,0.67091583444931
419,2,2,2,FALSE,0.769066115489637,0.726058933657166
420,2,2,2,FALSE,0.693736825263579,0.633558689950312
421,10,10,10,FALSE,0.429648079145438,0.405543467356694
422,10,10,10,FALSE,0.321873891586364,0.33639428960252
423,1,1,1,FALSE,0.727231894589102,0.717456361596403
424,2,2,2,FALSE,0.662254326646368,0.628852725370186
425,2,2,2,FALSE,0.673689666386493,0.641318050345365
426,5,5,5,FALSE,0.711868283172936,0.654340120109728
427,4,4,4,FALSE,0.60034490864259,0.483366894884846
428,5,5,5,FALSE,0.791160113245656,0.725505459429275
429,2,2,2,FALSE,0.555616521827466,0.534308413819674
430,5,5,5,FALSE,0.792402070908732,0.733263987197913
431,4,4,4,FALSE,0.658033732163598,0.510037038466349
432,5,5,5,FALSE,0.791013411563183,0.731523776180808
433,4,4,4,FALSE,0.598228577740445,0.470611170437248
434,5,5,5,FALSE,0.790798355594341,0.721324750004073
435,5,5,5,FALSE,0.740688946280369,0.683612917808884
436,2,2,2,FALSE,0.749386623194294,0.702794847626784
437,5,5,5,FALSE,0.789300017829424,0.731234394107671
438,2,2,2,FALSE,0.762315294894285,0.711895949894423
439,5,5,5,FALSE,0.659050734871705,0.575880396375227
440,2,2,2,FALSE,0.660336874539462,0.626105531326931
441,2,2,2,FALSE,0.77144247833456,0.716749000693955
442,5,5,5,FALSE,0.656167786398432,0.609256934537556
443,5,5,5,FALSE,0.761541027638016,0.671356174970874
444,2,2,2,FALSE,0.633711089220425,0.58606722837544
445,5,5,5,FALSE,0.712178896309447,0.645931654096054
446,7,4,4,TRUE,0.129243130135795,-0.0856639459980247
447,5,5,5,FALSE,0.658472762247644,0.575789097931841
448,2,2,2,FALSE,0.765654283465014,0.719593150585471
449,2,2,2,FALSE,0.644250444689818,0.607790617767644
450,1,1,1,FALSE,0.758529215884515,0.74037413004647
451,2,2,2,FALSE,0.758803933610117,0.713425428807222
452,2,2,2,FALSE,0.683102829032404,0.627245844089657
453,1,1,1,FALSE,0.661196663141715,0.644213461417241
454,1,1,1,FALSE,0.707630030355146,0.682164415849559
455,5,5,5,FALSE,0.698748048642699,0.647264200619964
456,2,2,2,FALSE,0.630663165018262,0.602473801314235
457,2,2,2,FALSE,0.764962419803627,0.719436039349557
458,10,10,10,FALSE,0.465361117314619,0.453633677101387
459,2,2,2,FALSE,0.770369830016476,0.713203654216714
460,5,5,5,FALSE,0.707170072515775,0.65581521525831
461,5,5,5,FALSE,0.698495771106801,0.651894841624504
462,2,2,2,FALSE,0.663327913959618,0.620755806297563
463,2,2,2,FALSE,0.670615101012921,0.622204952983181
464,2,2,2,FALSE,0.67096000036516,0.611709279276816
465,5,5,5,FALSE,0.792520086523942,0.727988862802648
466,12,12,12,FALSE,0.342699738676214,0.306145551348663
467,5,5,5,FALSE,0.675604436237622,0.613150158982358
468,8,8,8,FALSE,0.71641994048838,0.667687170721476
469,6,6,6,FALSE,0.470615597516126,0.25792896769271
470,6,6,6,FALSE,0.253504651588549,0.113345212844323
471,6,6,6,FALSE,0.402728105216224,0.256772384161412
472,6,6,6,FALSE,0.25546998241556,0.0618901730159933
473,1,1,1,FALSE,0.706116853357008,0.672652123269211
474,1,1,1,FALSE,0.582387620823148,0.57520635850331
475,3,3,3,FALSE,0.302666594164223,0.333888999322409
476,6,6,6,FALSE,-0.0250578824526971,0.0547017876828699
477,3,3,3,FALSE,0.607510440725432,0.54966916143498
478,3,3,3,FALSE,0.137567112917212,0.171802037257845
479,3,3,3,FALSE,0.306456212419779,0.344276637442662
