"id","escenario","tipo_escenario","evidencia_retirada","pregunta","aporte_conservada","aporte_degradada","transferencia_conservada","transferencia_degradada","receptora_conservada","receptora_degradada","UREH_predicha","prob_UREH_predicha","entropia_UREH"
383,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.134485077885283,0.24133781724488,0.139548390366825,0.251126888042529,0.0859665317478919,0.147535294712591,"transferencia_degradada",0.251126888042529,0.964414804985867
384,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.137935764173598,0.248009144068956,0.138302546658562,0.248718256873219,0.0837616891678405,0.143272599057825,"transferencia_degradada",0.248718256873219,0.962636788135837
385,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233494644783136,0.130428264543002,0.248379719659226,0.138127441203048,0.158125635557638,0.0914442942539505,"transferencia_conservada",0.248379719659226,0.968360423181831
386,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.133456549668401,0.239349329358909,0.139945457317466,0.251894550813768,0.0865979930141328,0.148756119827323,"transferencia_degradada",0.251894550813768,0.964870746938341
387,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233894672531769,0.130635175447467,0.254403090040187,0.141242977606993,0.151702237428044,0.08812184694554,"transferencia_conservada",0.254403090040187,0.965829081631543
388,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130635175447467,0.233894672531769,0.141242977606993,0.254403090040187,0.08812184694554,0.151702237428044,"transferencia_degradada",0.254403090040187,0.965829081631543
389,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.231207700258777,0.129245362202816,0.227391856482382,0.12727164990468,0.181400443258842,0.103482987892504,"aporte_conservada",0.231207700258777,0.974781088309027
390,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.142007446835795,0.255881063882538,0.136794923004876,0.245803517809427,0.0811976301593288,0.138315418308036,"aporte_degradada",0.255881063882538,0.960224803760216
391,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.233894672531769,0.130635175447467,0.254403090040187,0.141242977606993,0.151702237428044,0.08812184694554,"transferencia_conservada",0.254403090040187,0.965829081631543
392,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130623799170796,0.233872678396872,0.14123351142122,0.254384788747692,0.0881426894079842,0.151742532855436,"transferencia_degradada",0.254384788747692,0.96584466314541
393,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130635175447467,0.233894672531769,0.141242977606993,0.254403090040187,0.08812184694554,0.151702237428044,"transferencia_degradada",0.254403090040187,0.965829081631543
394,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.142007446835795,0.255881063882538,0.136794923004876,0.245803517809427,0.0811976301593288,0.138315418308036,"aporte_degradada",0.255881063882538,0.960224803760216
395,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130635175447467,0.233894672531769,0.141242977606993,0.254403090040187,0.08812184694554,0.151702237428044,"transferencia_degradada",0.254403090040187,0.965829081631543
396,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130354696425036,0.233352413088404,0.137519262924406,0.247203908320518,0.0921260406505578,0.159443678591078,"transferencia_degradada",0.247203908320518,0.968835462664578
397,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.130708354656843,0.234036152336563,0.141135085667641,0.254194498957439,0.0881565596755161,0.151769348705998,"transferencia_degradada",0.254194498957439,0.965867292977563
398,"M3","principal","Aporte acumulado de aguas arriba","Dependencia de informacion asociada con el aporte aguas arriba",0.142007446835795,0.255881063882538,0.136794923004876,0.245803517809427,0.0811976301593288,0.138315418308036,"aporte_degradada",0.255881063882538,0.960224803760216
