"id","runoff_network_low","runoff_network_medium","runoff_network_high","runoff_TM_low","runoff_TM_medium","runoff_TM_high","MAP_runoff_network","MAP_runoff_TM","JS_runoff","H_runoff_network","H_runoff_TM","delta_H_runoff","UREH_network_aporte_conservada","UREH_network_aporte_degradada","UREH_network_transferencia_conservada","UREH_network_transferencia_degradada","UREH_network_receptora_conservada","UREH_network_receptora_degradada","UREH_TM_aporte_conservada","UREH_TM_aporte_degradada","UREH_TM_transferencia_conservada","UREH_TM_transferencia_degradada","UREH_TM_receptora_conservada","UREH_TM_receptora_degradada","MAP_UREH_network","MAP_UREH_TM","JS_UREH","H_UREH_network","H_UREH_TM","delta_H_UREH","runoff_MAP_changed","UREH_MAP_changed"
500,0.175,0.64,0.185,0.0343995428809224,0.949244861133968,0.0163555959851097,"esc_media","esc_media",0.344706370227028,0.821775145200831,0.211753395351993,-0.610021749848838,0.11686,0.0701,0.4057,0.2195,0.11744,0.0704,0.109518447947072,0.0663026454898649,0.422009653025813,0.227936027427145,0.108471899027115,0.0657613270829905,"transferencia_conservada","transferencia_conservada",0.021971689909372,0.878679781883175,0.861268818837829,-0.0174109630453464,FALSE,FALSE
501,0.145,0.245,0.61,0.0272714025703485,0.810247099573825,0.162481497855827,"esc_alta","esc_media",0.49657699488023,0.842982251726283,0.513355103359546,-0.329627148366736,0.21395,0.39497,0.088025,0.151515,0.058025,0.093515,0.204056302858564,0.375842185526558,0.0929718485707178,0.161078907236721,0.0629718485707178,0.103078907236721,"aporte_degradada","aporte_degradada",0.0255117012537418,0.883733523318399,0.901580089632611,0.0178465663142117,TRUE,FALSE
502,0.54,0.28,0.18,0.896258524954287,0.0851370639237804,0.0186044111219324,"esc_baja","esc_baja",0.355652772105155,0.908268214242105,0.347734231228555,-0.560533983013551,0.1892,0.34712,0.1004,0.17544,0.0704,0.11744,0.173670376585029,0.317096061397723,0.108164811707485,0.190451969301138,0.0781648117074853,0.132451969301138,"aporte_degradada","aporte_degradada",0.0390874940359099,0.924656908219664,0.944115133024375,0.0194582248047113,FALSE,FALSE
503,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.153835,0.089225,0.35756,0.1946,0.128605,0.076175,0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada","transferencia_conservada",0.0603376093250653,0.920735393412878,0.946105609084125,0.0253702156712471,FALSE,FALSE
504,0.155,0.255,0.59,0.0290534208059981,0.860356138706654,0.110590440487348,"esc_alta","esc_media",0.537748388647027,0.863571156866974,0.433024154544496,-0.430547002322479,0.103375,0.063125,0.40802,0.2207,0.128605,0.076175,0.106320524835989,0.0646485473289597,0.422629803186504,0.22825679475164,0.111049671977507,0.0670946579194002,"transferencia_conservada","transferencia_conservada",0.0288440675815534,0.875185242956966,0.860538023241762,-0.0146472197152043,TRUE,FALSE
505,0.2475,0.55,0.2025,0.448168262971288,0.522409381235669,0.0294223557930433,"esc_media","esc_media",0.271583700577559,0.908237865329521,0.730593883851126,-0.177643981478395,0.42494,0.1391,0.19153,0.07045,0.12353,0.05045,0.399525278311879,0.131625081856435,0.20423736084406,0.0741874590717825,0.13623736084406,0.0541874590717824,"aporte_conservada","aporte_conservada",0.0284872831704409,0.865353145423041,0.882041562710469,0.0166884172874281,FALSE,FALSE
506,0.145,0.245,0.61,0.0280735721200387,0.853823814133592,0.11810261374637,"esc_alta","esc_media",0.539649333999364,0.842982251726283,0.443765212253567,-0.399217039472716,0.45962,0.1493,0.17419,0.06535,0.10619,0.04535,0.43412197483059,0.141800580832527,0.186939012584705,0.0690997095837367,0.118939012584705,0.0490997095837367,"aporte_conservada","aporte_conservada",0.0290934493110829,0.838468544093119,0.858702533740505,0.0202339896473862,TRUE,FALSE
507,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.34277,0.18695,0.177615,0.101525,0.119615,0.071525,0.312970988213962,0.171536718041704,0.192514505893019,0.109231640979148,0.134514505893019,0.0792316409791478,"aporte_conservada","aporte_conservada",0.0387700708866424,0.927769419019908,0.946419676621854,0.0186502576019465,FALSE,FALSE
508,0.59,0.255,0.155,0.962828649138713,0.0231187669990934,0.014052583862194,"esc_baja","esc_baja",0.404754508247882,0.863571156866974,0.1670255104958,-0.696545646371175,0.153835,0.089225,0.35756,0.1946,0.128605,0.076175,0.190358567543064,0.108116500453309,0.314311876699909,0.172230281051677,0.135329555757026,0.0796532184950136,"transferencia_conservada","transferencia_conservada",0.0603376093250653,0.920735393412878,0.946105609084125,0.0253702156712471,FALSE,FALSE
509,0.61,0.245,0.145,0.81868348009765,0.165906281918801,0.0154102379835491,"esc_baja","esc_baja",0.245271240773534,0.842982251726283,0.478885435365995,-0.364096816360288,0.18605,0.34103,0.101975,0.178485,0.071975,0.120485,0.175901802736577,0.321410151957382,0.107049098631712,0.188294924021309,0.0770490986317115,0.130294924021309,"aporte_degradada","aporte_degradada",0.025536058201017,0.928986494653445,0.941609809788091,0.0126233151346455,FALSE,FALSE
