"id","UREH_predicha","prob_UREH_predicha","UREH_segunda","prob_UREH_segunda","margen_clasificacion","entropia_UREH"
123,"transferencia_conservada",0.364297181895816,"aporte_conservada",0.220385140905209,0.143912040990606,0.901417560443216
124,"aporte_conservada",0.424784790759762,"transferencia_conservada",0.191607604620119,0.233177186139643,0.865462709846066
125,"transferencia_conservada",0.386571679924901,"aporte_conservada",0.202789298981023,0.183782380943878,0.8914548949896
126,"transferencia_conservada",0.49175,"transferencia_degradada",0.15875,0.333,0.815503063447558
127,"aporte_conservada",0.373205205205205,"transferencia_conservada",0.217397397397397,0.155807807807808,0.896696937636489
128,"aporte_conservada",0.362932536293766,"transferencia_conservada",0.222533731853117,0.140398804440649,0.901697307016653
129,"aporte_conservada",0.406380996862996,"transferencia_conservada",0.200809501568502,0.205571495294494,0.877786825204498
130,"aporte_conservada",0.411957515860319,"transferencia_conservada",0.19802124206984,0.213936273790479,0.874191784683277
131,"transferencia_conservada",0.491982650824827,"transferencia_degradada",0.158818426713185,0.333164224111643,0.815304549673346
132,"aporte_conservada",0.362932536293766,"transferencia_conservada",0.222533731853117,0.140398804440649,0.901697307016653
133,"transferencia_conservada",0.49175,"transferencia_degradada",0.15875,0.333,0.815503063447558
134,"aporte_conservada",0.425626614584958,"transferencia_conservada",0.191186692707521,0.234439921877437,0.864867318667073
135,"transferencia_conservada",0.491834886817576,"transferencia_degradada",0.158774966711052,0.333059920106525,0.815417446941725
136,"aporte_conservada",0.355694758540331,"aporte_degradada",0.193635219934654,0.162059538605677,0.918228483352198
137,"transferencia_conservada",0.492781296842735,"transferencia_degradada",0.159053322600804,0.33372797424193,0.812610238010099
138,"aporte_conservada",0.439792193479131,"transferencia_conservada",0.184103903260434,0.255688290218696,0.854428725358065
139,"aporte_conservada",0.432617842876165,"transferencia_conservada",0.187691078561917,0.244926764314248,0.859814808821469
140,"aporte_conservada",0.372729147141518,"aporte_degradada",0.20244611059044,0.170283036551078,0.904295177587536
141,"aporte_conservada",0.357524178803794,"aporte_degradada",0.194581471795066,0.162942707008728,0.916806478261213
142,"transferencia_conservada",0.424193602693603,"transferencia_degradada",0.229065656565657,0.195127946127946,0.858826171187244
143,"transferencia_conservada",0.491834886817576,"transferencia_degradada",0.158774966711052,0.333059920106525,0.815417446941725
144,"aporte_conservada",0.411604857533581,"aporte_degradada",0.222554236655301,0.189050620878281,0.866550911385775
145,"transferencia_conservada",0.315071242480608,"aporte_conservada",0.18978570167634,0.125285540804269,0.945737470679011
146,"transferencia_degradada",0.314311876699909,"aporte_degradada",0.190358567543064,0.123953309156845,0.946105609084125
147,"transferencia_conservada",0.389909135455274,"transferencia_degradada",0.211332311442383,0.178576824012891,0.893695027736059
148,"aporte_conservada",0.423029011786038,"aporte_degradada",0.228463281958296,0.194565729827742,0.853827266990514
149,"aporte_conservada",0.364272186031197,"aporte_degradada",0.198071820360964,0.166200365670233,0.911406939819389
150,"aporte_conservada",0.423029011786038,"aporte_degradada",0.228463281958296,0.194565729827742,0.853827266990514
151,"transferencia_degradada",0.394550339197153,"transferencia_conservada",0.213732934067493,0.18081740512966,0.889403368706767
152,"aporte_conservada",0.459952122312504,"transferencia_conservada",0.174023938843748,0.285928183468756,0.838187599751876
153,"transferencia_conservada",0.314311876699909,"aporte_conservada",0.190358567543064,0.123953309156845,0.946105609084125
154,"transferencia_degradada",0.422743465634076,"transferencia_conservada",0.228315585672798,0.194427879961278,0.860401964033812
155,"transferencia_degradada",0.314311876699909,"aporte_degradada",0.190358567543064,0.123953309156845,0.946105609084125
156,"transferencia_conservada",0.424193602693603,"transferencia_degradada",0.229065656565657,0.195127946127946,0.858826171187244
157,"transferencia_conservada",0.422743465634076,"transferencia_degradada",0.228315585672798,0.194427879961278,0.860401964033812
158,"transferencia_conservada",0.39975526601449,"transferencia_degradada",0.216425137593702,0.183330128420788,0.884430582967658
159,"transferencia_conservada",0.418492156896987,"transferencia_degradada",0.226116632877752,0.192375524019235,0.865137859014505
160,"transferencia_degradada",0.424324575204607,"transferencia_conservada",0.2291334009679,0.195191174236707,0.854026314406894
161,"aporte_degradada",0.361230047154749,"aporte_conservada",0.196498300252457,0.164731746902293,0.913871271475845
162,"aporte_conservada",0.485257139273323,"transferencia_conservada",0.161371430363339,0.323885708909984,0.815430896339358
163,"aporte_degradada",0.401450238747114,"aporte_conservada",0.217301847627818,0.184148391119296,0.877226568326062
164,"transferencia_degradada",0.40002176704848,"transferencia_conservada",0.21656298295611,0.18345878409237,0.884169266400855
165,"transferencia_degradada",0.318928847745728,"aporte_degradada",0.186875522629755,0.132053325115972,0.943818668882156
166,"aporte_conservada",0.421496104477779,"transferencia_conservada",0.19325194776111,0.228244156716669,0.867762015380515
167,"transferencia_conservada",0.422375,"transferencia_degradada",0.228125,0.19425,0.860839475059823
168,"aporte_conservada",0.312970988213962,"transferencia_conservada",0.192514505893019,0.120456482320943,0.946419676621854
169,"aporte_degradada",0.32761077552342,"transferencia_degradada",0.18519461223829,0.142416163285131,0.937838393599537
170,"receptora_degradada",0.312729111697449,"transferencia_degradada",0.192635444151275,0.120093667546174,0.946552043807644
171,"transferencia_conservada",0.313665243381725,"aporte_conservada",0.190916737830914,0.122748505550811,0.94639690599231
172,"aporte_degradada",0.313646365422397,"transferencia_degradada",0.192176817288802,0.121469548133595,0.946048456170975
173,"transferencia_degradada",0.318263490049216,"aporte_degradada",0.187377468757935,0.130886021291282,0.944155426993415
174,"transferencia_degradada",0.330888273620749,"transferencia_conservada",0.180804279459008,0.150083994161741,0.937351979041321
175,"transferencia_conservada",0.424291245791246,"transferencia_degradada",0.229116161616162,0.195175084175084,0.858716238328341
176,"transferencia_degradada",0.424054592381067,"transferencia_conservada",0.228993754679862,0.195060837701205,0.855655491685207
177,"receptora_conservada",0.352747134749309,"receptora_degradada",0.192110586939298,0.160636547810011,0.920482248721259
178,"transferencia_degradada",0.422961479198767,"transferencia_conservada",0.228428351309707,0.19453312788906,0.860138243279736
179,"aporte_degradada",0.321647158820593,"transferencia_degradada",0.188176420589704,0.133470738230889,0.941469352261526
180,"transferencia_conservada",0.31397889182058,"aporte_conservada",0.190645998240985,0.123332893579595,0.94625592447414
181,"receptora_degradada",0.423270888302551,"receptora_conservada",0.228588390501319,0.194682497801231,0.853549573152347
