"id","cluster_C2","UREH_predicha","funcion","condicion"
60,2,"receptora_conservada","recepcion","conservada"
61,5,"transferencia_degradada","transferencia","degradada"
62,5,"receptora_degradada","recepcion","degradada"
63,5,"aporte_degradada","aporte","degradada"
64,5,"transferencia_degradada","transferencia","degradada"
65,2,"receptora_conservada","recepcion","conservada"
66,5,"aporte_degradada","aporte","degradada"
67,5,"aporte_degradada","aporte","degradada"
68,5,"aporte_degradada","aporte","degradada"
69,2,"receptora_conservada","recepcion","conservada"
70,2,"aporte_conservada","aporte","conservada"
71,5,"aporte_degradada","aporte","degradada"
72,2,"aporte_conservada","aporte","conservada"
73,5,"aporte_degradada","aporte","degradada"
74,2,"receptora_conservada","recepcion","conservada"
75,2,"receptora_conservada","recepcion","conservada"
76,5,"aporte_degradada","aporte","degradada"
77,2,"receptora_conservada","recepcion","conservada"
78,2,"transferencia_conservada","transferencia","conservada"
79,3,"receptora_conservada","recepcion","conservada"
80,5,"receptora_degradada","recepcion","degradada"
81,2,"transferencia_conservada","transferencia","conservada"
82,2,"receptora_conservada","recepcion","conservada"
83,2,"aporte_conservada","aporte","conservada"
84,6,"aporte_degradada","aporte","degradada"
85,5,"receptora_degradada","recepcion","degradada"
86,2,"receptora_conservada","recepcion","conservada"
87,2,"receptora_conservada","recepcion","conservada"
88,5,"aporte_degradada","aporte","degradada"
89,8,"receptora_degradada","recepcion","degradada"
90,3,"aporte_conservada","aporte","conservada"
91,3,"aporte_conservada","aporte","conservada"
92,2,"receptora_conservada","recepcion","conservada"
93,5,"aporte_degradada","aporte","degradada"
94,4,"receptora_conservada","recepcion","conservada"
95,4,"receptora_conservada","recepcion","conservada"
96,3,"aporte_conservada","aporte","conservada"
97,3,"receptora_conservada","recepcion","conservada"
98,2,"aporte_conservada","aporte","conservada"
99,2,"aporte_conservada","aporte","conservada"
100,3,"receptora_conservada","recepcion","conservada"
101,3,"aporte_conservada","aporte","conservada"
102,8,"receptora_degradada","recepcion","degradada"
103,2,"transferencia_conservada","transferencia","conservada"
104,7,"aporte_conservada","aporte","conservada"
105,5,"aporte_degradada","aporte","degradada"
106,2,"receptora_conservada","recepcion","conservada"
107,2,"aporte_conservada","aporte","conservada"
108,3,"aporte_conservada","aporte","conservada"
109,2,"aporte_conservada","aporte","conservada"
110,2,"aporte_conservada","aporte","conservada"
111,3,"aporte_conservada","aporte","conservada"
112,3,"aporte_conservada","aporte","conservada"
113,2,"aporte_conservada","aporte","conservada"
114,2,"aporte_conservada","aporte","conservada"
115,2,"aporte_conservada","aporte","conservada"
116,3,"receptora_conservada","recepcion","conservada"
117,3,"aporte_conservada","aporte","conservada"
118,9,"receptora_degradada","recepcion","degradada"
119,2,"aporte_conservada","aporte","conservada"
120,2,"aporte_conservada","aporte","conservada"
121,3,"aporte_conservada","aporte","conservada"
122,5,"aporte_degradada","aporte","degradada"
123,7,"transferencia_conservada","transferencia","conservada"
124,7,"aporte_conservada","aporte","conservada"
125,7,"transferencia_conservada","transferencia","conservada"
126,7,"transferencia_conservada","transferencia","conservada"
127,7,"aporte_conservada","aporte","conservada"
128,7,"aporte_conservada","aporte","conservada"
129,7,"aporte_conservada","aporte","conservada"
130,7,"aporte_conservada","aporte","conservada"
131,7,"transferencia_conservada","transferencia","conservada"
132,7,"aporte_conservada","aporte","conservada"
133,7,"transferencia_conservada","transferencia","conservada"
134,7,"aporte_conservada","aporte","conservada"
135,7,"transferencia_conservada","transferencia","conservada"
136,10,"aporte_conservada","aporte","conservada"
137,7,"transferencia_conservada","transferencia","conservada"
138,7,"aporte_conservada","aporte","conservada"
139,7,"aporte_conservada","aporte","conservada"
140,10,"aporte_conservada","aporte","conservada"
141,10,"aporte_conservada","aporte","conservada"
142,4,"transferencia_conservada","transferencia","conservada"
143,7,"transferencia_conservada","transferencia","conservada"
144,10,"aporte_conservada","aporte","conservada"
145,10,"transferencia_conservada","transferencia","conservada"
146,11,"transferencia_degradada","transferencia","degradada"
147,4,"transferencia_conservada","transferencia","conservada"
148,10,"aporte_conservada","aporte","conservada"
149,10,"aporte_conservada","aporte","conservada"
