"id","Esc_sum","Esc_cat","escorrentia","ev_esc_baja","ev_esc_media","ev_esc_alta","suma_evidencia","ev_esc_baja_aj","ev_esc_media_aj","ev_esc_alta_aj","suma_evidencia_aj"
765,1724020.52172852,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
766,208533.844848633,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
767,301908.615112305,"Baja","esc_baja",0.838630022760564,0.161369977239436,0,1,0.76283551934648,0.18716448065352,0.05,1
768,216639.820678711,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
769,644057.025421143,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
770,313406.434936523,"Baja","esc_baja",0.775687246817924,0.224312753182076,0,1,0.709334159795236,0.240665840204764,0.05,1
771,385438.000671387,"Media","esc_media",0.381363212160732,0.618636787839268,0,1,0.374158730336622,0.575841269663378,0.05,1
772,245815.860015869,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
773,374066.458099365,"Media","esc_media",0.443614705676517,0.556385294323483,0,1,0.427072499825039,0.522927500174961,0.05,1
774,574109.03314209,"Media","esc_media",0,1,0,1,0.05,0.9,0.05,1
775,2201000.30584717,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
776,308085.175323486,"Baja","esc_baja",0.804817539053895,0.195182460946105,0,1,0.734094908195811,0.215905091804189,0.05,1
777,184389.124572754,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
778,92718.0311279297,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
779,1182511.47375488,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
780,440775.490386963,"Media","esc_media",0.0784279366349174,0.921572063365083,0,1,0.11666374613968,0.83333625386032,0.05,1
781,312031.886047363,"Baja","esc_baja",0.783211970989577,0.216788029010423,0,1,0.71573017534114,0.23426982465886,0.05,1
782,365321.352783203,"Baja","esc_baja",0.491488234130196,0.508511765869804,0,1,0.467764999010666,0.482235000989334,0.05,1
783,331172.506774902,"Baja","esc_baja",0.678430036651127,0.321569963348873,0,1,0.626665531153458,0.323334468846542,0.05,1
784,1249367.14529419,"Alta","esc_alta",0,0,1,1,0.05,0.05,0.9,1
785,179750.893859863,"Baja","esc_baja",1,0,0,1,0.9,0.05,0.05,1
786,297278.719360352,"Baja","esc_baja",0.863975566125154,0.136024433874846,0,1,0.784379231206381,0.165620768793619,0.05,1
